HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"001.501",CFGLOC101736,"Central Plains Soil Water Content Profile SP1","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.11,3.05,0.00,0.00,0.00,0.00,,,,0.11,3.05,0.00,0.00
"001.501",CFGLOC101736,"Central Plains Soil Water Content Profile SP1","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.11,3.05,0.00,0.00,0.00,0.00,40.815670,-104.745720,1654.52,-2.08,2.23,45.00,315.00
"001.502",CFGLOC101740,"Central Plains Soil Temp Profile SP1, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.50,2.80,-0.06,2.00,0.00,45.00,,,,0.50,2.80,0.00,0.00
"001.502",CFGLOC101740,"Central Plains Soil Temp Profile SP1, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.50,2.80,-0.06,2.00,0.00,45.00,40.815670,-104.745720,1654.52,-1.63,2.33,45.00,315.00
"001.503",CFGLOC101742,"Central Plains Soil Temp Profile SP1, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.50,2.80,-0.16,2.00,0.00,45.00,,,,0.50,2.80,0.00,0.00
"001.503",CFGLOC101742,"Central Plains Soil Temp Profile SP1, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.50,2.80,-0.16,2.00,0.00,45.00,40.815670,-104.745720,1654.52,-1.63,2.33,45.00,315.00
"001.504",CFGLOC101744,"Central Plains Soil Temp Profile SP1, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.50,2.80,-0.26,2.00,0.00,45.00,,,,0.50,2.80,0.00,0.00
"001.504",CFGLOC101744,"Central Plains Soil Temp Profile SP1, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.50,2.80,-0.26,2.00,0.00,45.00,40.815670,-104.745720,1654.52,-1.63,2.33,45.00,315.00
"001.505",CFGLOC101746,"Central Plains Soil Temp Profile SP1, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.50,2.80,-0.46,2.00,0.00,45.00,,,,0.50,2.80,0.00,0.00
"001.505",CFGLOC101746,"Central Plains Soil Temp Profile SP1, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.50,2.80,-0.46,2.00,0.00,45.00,40.815670,-104.745720,1654.52,-1.63,2.33,45.00,315.00
"001.506",CFGLOC101748,"Central Plains Soil Temp Profile SP1, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.50,2.80,-0.66,2.00,0.00,45.00,,,,0.50,2.80,0.00,0.00
"001.506",CFGLOC101748,"Central Plains Soil Temp Profile SP1, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.50,2.80,-0.66,2.00,0.00,45.00,40.815670,-104.745720,1654.52,-1.63,2.33,45.00,315.00
"001.507",CFGLOC101750,"Central Plains Soil Temp Profile SP1, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.50,2.80,-1.06,2.00,0.00,45.00,,,,0.50,2.80,0.00,0.00
"001.507",CFGLOC101750,"Central Plains Soil Temp Profile SP1, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.50,2.80,-1.06,2.00,0.00,45.00,40.815670,-104.745720,1654.52,-1.63,2.33,45.00,315.00
"001.508",CFGLOC101752,"Central Plains Soil Temp Profile SP1, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.50,2.80,-1.56,2.00,0.00,45.00,,,,0.50,2.80,0.00,0.00
"001.508",CFGLOC101752,"Central Plains Soil Temp Profile SP1, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.50,2.80,-1.56,2.00,0.00,45.00,40.815670,-104.745720,1654.52,-1.63,2.33,45.00,315.00
"002.501",CFGLOC101763,"Central Plains Soil Water Content Profile SP2","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.18,3.00,-0.01,1.00,0.00,30.00,,,,0.18,3.00,0.00,0.00
"002.501",CFGLOC101763,"Central Plains Soil Water Content Profile SP2","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.18,3.00,-0.01,1.00,0.00,30.00,40.815892,-104.746013,1654.01,-1.99,2.25,45.00,315.00
"002.502",CFGLOC101767,"Central Plains Soil Temp Profile SP2, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-0.05,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
"002.502",CFGLOC101767,"Central Plains Soil Temp Profile SP2, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.27,2.50,-0.05,2.00,0.00,300.00,40.815892,-104.746013,1654.01,-1.58,1.96,45.00,315.00
"002.503",CFGLOC101769,"Central Plains Soil Temp Profile SP2, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-0.15,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
