table,fieldName,description,dataType,units,downloadPkg,pubFormat
SWS_1_minute,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm:ss'Z'(floor)"
SWS_1_minute,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm:ss'Z'(floor)"
SWS_1_minute,VSWCMean,"Arithmetic mean of volumetric soil water content",real,cubicCentimetersPerCubicCentimeter,basic,"*.####(round)"
SWS_1_minute,VSWCMinimum,"Minimum volumetric soil water content",real,cubicCentimetersPerCubicCentimeter,basic,"*.####(round)"
SWS_1_minute,VSWCMaximum,"Maximum volumetric soil water content",real,cubicCentimetersPerCubicCentimeter,basic,"*.####(round)"
SWS_1_minute,VSWCVariance,"Variance in volumetric soil water content",real,cubicCentimetersPerCubicCentimeterSquared,basic,"*.####(round)"
SWS_1_minute,VSWCNumPts,"Number of points used to calculate the arithmetic mean of volumetric soil water content",real,number,basic,"integer"
SWS_1_minute,VSWCExpUncert,"Expanded uncertainty for volumetric soil water content",real,cubicCentimetersPerCubicCentimeter,basic,"*.####(round)"
SWS_1_minute,VSWCStdErMean,"Standard error of the mean for volumetric soil water content",real,cubicCentimetersPerCubicCentimeter,basic,"*.####(round)"
SWS_1_minute,VSWCRangeFailQM,"Volumetric soil water content quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCRangePassQM,"Volumetric soil water content quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCRangeNAQM,"Volumetric soil water content quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCPersistenceFailQM,"Volumetric soil water content quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCPersistencePassQM,"Volumetric soil water content quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCPersistenceNAQM,"Volumetric soil water content quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCStepFailQM,"Volumetric soil water content quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCStepPassQM,"Volumetric soil water content quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCStepNAQM,"Volumetric soil water content quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCNullFailQM,"Volumetric soil water content quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCNullPassQM,"Volumetric soil water content quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCNullNAQM,"Volumetric soil water content quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCGapFailQM,"Volumetric soil water content quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCGapPassQM,"Volumetric soil water content quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCGapNAQM,"Volumetric soil water content quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCSpikeFailQM,"Volumetric soil water content quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCSpikePassQM,"Volumetric soil water content quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCSpikeNAQM,"Volumetric soil water content quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCValidCalFailQM,"Volumetric soil water content quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCValidCalPassQM,"Volumetric soil water content quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCValidCalNAQM,"Volumetric soil water content quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCAlphaQM,"Volumetric soil water content quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCBetaQM,"Volumetric soil water content quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSWCFinalQF,"Volumetric soil water content quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,"integer"
SWS_1_minute,VSWCFinalQFSciRvw,"Volumetric soil water content quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,"integer"
SWS_1_minute,VSICMean,"Arithmetic mean of volumetric soil ion content",real,dimensionless,basic,"*.###(round)"
SWS_1_minute,VSICMinimum,"Minimum volumetric soil ion content",real,dimensionless,basic,"*.###(round)"
SWS_1_minute,VSICMaximum,"Maximum volumetric soil ion content",real,dimensionless,basic,"*.###(round)"
SWS_1_minute,VSICVariance,"Variance in volumetric soil ion content",real,dimensionless,basic,"*.###(round)"
SWS_1_minute,VSICNumPts,"Number of points used to calculate the arithmetic mean of volumetric soil ion content",real,NA,basic,"integer"
SWS_1_minute,VSICExpUncert,"Expanded uncertainty for volumetric soil ion content",real,dimensionless,basic,"*.###(round)"
SWS_1_minute,VSICStdErMean,"Standard error of the mean for volumetric soil ion content",real,dimensionless,basic,"*.###(round)"
SWS_1_minute,VSICRangeFailQM,"Volumetric soil ion content quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSICRangePassQM,"Volumetric soil ion content quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSICRangeNAQM,"Volumetric soil ion content quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
SWS_1_minute,VSICPersistenceFailQM,"Volumetric soil ion content quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,"*.##(round)"
